Stage,TimeStep,Node,r_U,r_D,P_lsh,delta_RT,s
RT,2,10,0.0,0.0,0.0,4.606363586106369,0.0
RT,2,11,0.0459300021,0.0,0.0,4.469414203504414,0.0
RT,2,12,0.0,0.0,0.0,4.97858802108081,0.0
RT,2,13,0.0,0.0,0.0,4.289838713312179,0.0
RT,2,14,0.0,0.0,0.0,2.606311311834247,0.0
RT,2,15,0.0,0.0,0.0,4.140391274798873,0.0
RT,2,16,0.0,0.0,0.0,1.4701592009979265,0.0
RT,2,17,0.0,0.0,0.0,2.630456968850183,0.0
RT,2,18,0.0,0.0,0.0,2.4771125546828614,0.0
RT,2,19,0.0,0.0,0.0,3.464478329301471,0.0
RT,2,20,0.0,0.0,0.0,3.5158013717170604,0.0
RT,2,21,0.0,0.0,0.0,2.9833685983181795,0.0
RT,2,22,0.0,0.0,0.0,1.4185694075082154,0.0
RT,2,23,0.00588428483,0.0,0.0,-0.9741201139116242,0.0
RT,2,24,0.0577348091,0.0,0.0,1.754402660264617,0.0
RT,2,25,0.0283554427,0.0,0.0,0.9521236803995521,0.0
RT,2,26,0.0933597265,0.0,0.0,5.871410694963771,0.0
RT,2,27,0.0,0.0,0.0,6.276753675015783,0.0
RT,2,28,0.0,0.0,0.0,6.026065820464169,0.0
RT,2,29,0.0,0.0,0.0,-0.8516155596014414,0.0
RT,2,30,0.0,0.0,0.0,5.592309391907463,0.0
RT,2,31,0.0,0.0,0.0,5.0557916338862015,0.0
RT,2,32,0.0,0.0,0.0,-0.9009895842075082,0.0
RT,2,33,0.0241155174,0.0,0.0,-6.02336636598659,0.0
RT,2,34,0.0,0.0,0.0,-5.640598929094807,0.0
RT,2,35,0.0,0.0,0.0,-5.6464325521994,0.0
RT,2,36,0.0,0.0,0.0,-6.326028935275559,0.0
RT,2,37,0.0,0.0,25.11203401581156,-8.511125845595132,0.0
RT,2,38,0.0,0.0,0.0,-7.480898226381299,0.0
RT,2,39,0.0,0.0,0.0,-8.85102728808701,0.0
RT,2,40,0.0,0.0,0.0,-10.17612446560861,0.0
RT,2,41,0.0331798019,0.0,0.0,-16.023468882559058,0.0
RT,2,42,0.0,0.0,0.0,-13.068725182151752,0.0
RT,2,43,0.0,0.0,0.0,-25.276448600284255,0.0
RT,2,44,0.0,0.0,0.0,-30.386040763608946,0.0
RT,2,45,0.0,0.0,0.0,-37.04478423678995,0.0
RT,2,46,0.0,0.0,0.0,-33.923412415853335,0.0
RT,2,47,0.0,0.0,0.0,-35.94533568694948,0.0
RT,2,48,0.0,0.0,0.0,-36.091170862944466,0.0
RT,2,49,0.0,0.0,0.0,-37.56913640302193,0.0
RT,2,50,0.0,0.0,0.0,-39.3346567775842,0.0
RT,2,51,0.0,0.0,0.0,-39.60095327548754,0.0
RT,2,52,0.0,0.0,0.0,-41.62236329449374,0.0
RT,2,53,73.6561489,0.0,0.0,-44.35200708086478,0.0
RT,2,54,25.9307645,0.0,0.0,-44.892313090756005,0.0
RT,2,55,0.0,0.0,0.0,-44.31211425208289,0.0
RT,2,56,0.0,0.0,0.0,-41.1942462330274,0.0
RT,2,57,0.0,0.0,0.0,-41.24327743820288,0.0
RT,2,58,0.0,0.117931314,0.0,-39.170762626204294,0.0
RT,2,59,0.0,0.0,0.0,-32.712099143180126,0.0
RT,2,60,0.0,0.0,0.0,-32.83528670341178,0.0
RT,2,61,0.0,0.0,0.0,-31.605921635944895,0.0
RT,2,62,0.0,0.0,0.0,-33.822332937953206,0.0
RT,2,63,0.0,0.0,0.0,-31.051125845595124,30.13352095434493
RT,2,64,0.0,0.0,0.0,-25.766125845595127,0.0
RT,2,65,0.0,0.0,0.0,-30.161295084304612,0.0
RT,2,66,0.0,0.0,0.0,-30.170002884511348,0.0
RT,2,67,0.0,0.0,0.0,-23.400127248747793,0.0
RT,2,68,0.0,0.0,0.0,-21.571495643719146,0.0
RT,2,69,0.0307689208,0.0,0.0,-12.748524121705572,0.0
RT,2,70,0.0,0.0,0.0,-11.55972366589981,0.0
RT,2,71,0.0,0.0,0.0,-6.00207376644056,0.0
RT,2,72,0.0,0.0,0.0,-11.441161383914533,0.0
RT,2,73,0.00744373245,0.0,0.0,-13.509995482122832,0.0
RT,2,74,0.0,0.0,0.0,-14.943700852648533,0.0
RT,2,75,0.0458459275,0.0,0.0,-14.842076284347257,0.0
RT,2,76,0.00333246924,0.0,0.0,-20.06647161491162,0.0
RT,2,77,0.0,0.0,0.0,-19.853129899087037,0.0
RT,2,78,0.0,0.0,0.0,-20.1873567156546,0.0
RT,2,79,0.00190807572,0.0,0.0,-22.346707502657523,0.0
RT,2,80,0.0,0.0,0.0,-23.028115380373265,0.0
RT,2,81,0.0,0.0,0.0,-21.85838583072524,0.0
RT,2,82,0.0,0.0,0.0,-21.331243981704233,0.0
RT,2,83,0.0,0.0,0.0,-20.891145374226227,0.0
RT,2,84,0.0129274451,0.0,0.0,-20.984326069234612,0.0
RT,2,85,0.0,0.0,0.0,-19.86007359358115,0.0
RT,2,86,0.0,0.0,0.0,-19.86007359358115,0.0
RT,2,87,0.0,0.0,0.0,-21.496340707380284,0.0
RT,2,88,0.0,0.0,0.0,-23.341259687045323,0.0
RT,2,89,0.0,0.0,0.0,-20.43943096686408,0.0
RT,2,90,0.0,0.0,0.0,-22.64688861018169,0.0
RT,2,91,0.0341266553,0.0,0.0,-26.55924291727746,0.0
RT,2,92,0.0,0.0,0.0,-28.370656227612614,0.0
RT,2,93,0.0,0.0,14.431159608433518,-30.316606054980213,0.0
RT,2,94,0.0,0.0,0.0,-27.51317399546471,0.0
RT,2,95,0.0,0.0,0.0,-24.979760961984766,0.0
RT,2,96,0.0,0.0,0.0,-23.402018748626688,0.0
RT,2,97,0.0,0.0,0.0,-28.168533295442074,0.0
RT,2,98,0.0,0.0,0.0,-34.273405984889195,0.0
RT,2,99,0.0,0.0,0.0,-40.46660605498022,0.0
RT,2,100,0.0,0.0,0.0,-33.756789085618436,0.0
RT,2,101,0.0,0.0,0.0,-28.874417091766162,0.0
RT,2,102,0.0,0.0,0.0,-49.65410605498025,13.568063222410672
RT,2,103,0.0,0.0,0.0,-55.51550590137347,0.0
RT,2,104,49.7035353,18.53027969499118,0.0,-56.5507223558636,0.0
RT,2,105,0.0,0.0,0.0,-54.58547011118253,0.0
